CONFIGURATION USED
DCno: 2
Sector/DC: 1
Aisles/Sector: 1
Racks/aisle: 2
Hosts/Rack: 800
Application( if using workload , type 0 ): 0
ReplicationFactor: 2
DCfailure: 0
Sectorfailure: 0
Aislefailure: 0
Rackfailure: 1
Hostfailure: 0

 INITIALIZING the configuration 
0.1: Broker: VM #170 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #85
0.1: Broker: VM #171 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #85
0.1: Broker: VM #172 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #86
0.1: Broker: VM #173 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #86
0.1: Broker: VM #174 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #87
0.1: Broker: VM #175 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #87
0.1: Broker: VM #176 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #88
0.1: Broker: VM #177 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #88
0.1: Broker: VM #178 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #89
0.1: Broker: VM #179 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #89
0.1: Broker: VM #180 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #90
0.1: Broker: VM #181 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #90
0.1: Broker: VM #182 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #91
0.1: Broker: VM #183 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #91
0.1: Broker: VM #184 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #92
0.1: Broker: VM #185 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #92
0.1: Broker: VM #186 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #93
0.1: Broker: VM #187 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #93
0.1: Broker: VM #188 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #94
0.1: Broker: VM #189 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #94
0.1: Broker: VM #190 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #95
0.1: Broker: VM #191 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #95
0.1: Broker: VM #192 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #96
0.1: Broker: VM #193 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #96
0.1: Broker: VM #194 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #97
0.1: Broker: VM #195 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #97
0.1: Broker: VM #196 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #98
0.1: Broker: VM #197 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #98
0.1: Broker: VM #198 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #99
0.1: Broker: VM #199 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #99
0.1: Broker: VM #200 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #100
0.1: Broker: VM #201 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #100
0.1: Broker: VM #202 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #101
0.1: Broker: VM #203 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #101
0.1: Broker: VM #204 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #102
0.1: Broker: VM #205 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #102
0.1: Broker: VM #206 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #103
0.1: Broker: VM #207 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #103
0.1: Broker: VM #208 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #104
0.1: Broker: VM #209 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #104
0.1: Broker: VM #210 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #105
0.1: Broker: VM #211 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #105
0.1: Broker: VM #212 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #106
0.1: Broker: VM #213 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #106
0.1: Broker: VM #214 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #107
0.1: Broker: VM #215 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #107
0.1: Broker: VM #216 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #108
0.1: Broker: VM #217 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #108
0.1: Broker: VM #218 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #109
0.1: Broker: VM #219 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #109
0.1: Broker: VM #220 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #110
0.1: Broker: VM #221 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #110
0.1: Broker: VM #222 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #111
0.1: Broker: VM #223 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #111
0.1: Broker: VM #224 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #112
0.1: Broker: VM #225 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #112
0.1: Broker: VM #226 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #113
0.1: Broker: VM #227 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #113
0.1: Broker: VM #228 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #114
0.1: Broker: VM #229 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #114
0.1: Broker: VM #230 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #115
